,title,year,popularity,homepage,type,action,comedy,fantasy,horror,non-fiction,romance
4041,The Grace Card,2011,6.5,http://www.thegracecardmovie.com/,M,0,0,1,0,0,0
4042,Middle of Nowhere,2012,6.6,,M,0,0,1,0,0,0
4043,Three,2010,6.3,,M,0,1,1,0,0,1
4044,The Business of Fancydancing,2002,8,,M,0,0,1,0,1,0
4045,Call + Response,2008,8,,M,0,0,0,0,1,0
4046,Malevolence,2004,4.9,http://www.malevolencemovie.com/,M,1,0,0,1,0,0
4047,Super Hybrid,2010,4.6,,M,0,0,0,1,0,0
4048,Baghead,2008,5.8,,M,0,1,1,1,0,0
4049,American Beast,2014,0,,M,0,0,0,1,0,0
4050,The Case of the Grinning Cat,2004,7.7,,M,0,0,0,0,1,0
4051,Ordet,2055,7.8,,M,0,0,1,0,0,0
4052,Good Dick,2008,6.1,http://www.gooddickthefilm.com/,M,0,1,1,0,0,1
4053,The Man from Earth,2007,7.7,http://manfromearth.com/,M,0,0,1,0,0,0
4054,The Trials Of Darryl Hunt,2007,6.8,,M,0,0,0,0,1,0
4055,Samantha: An American Girl Holiday,2004,4.6,,M,0,0,1,0,0,0
4056,Yesterday Was a Lie,2008,6,http://www.heliconarts.com/yesterday/,M,1,0,1,1,0,0
4057,Theresa Is a Mother,2015,0,,M,0,1,1,0,1,0
4058,H.,2014,6.5,,M,1,0,1,0,0,0
4059,Archaeology of a Woman,2014,0,,M,0,0,1,0,0,0
4060,Children of Heaven,1997,7.8,http://www.miramax.com/movie/children-of-heaven/,M,0,1,1,0,0,0
4061,Weekend,2011,7.4,http://weekenderfilm.tumblr.com/,M,0,0,1,0,0,1
4062,She's Gotta Have It,1986,6.1,,M,0,1,0,0,0,1
4063,Butterfly Girl,2014,0,,M,0,0,0,0,1,0
4064,The World Is Mine,2015,0,,M,0,0,1,0,0,0
4065,Another Earth,2011,6.8,http://www.anotherearth.com/,M,0,0,1,0,0,0
4066,Sweet Sweetback's Baadasssss Song,1971,4.6,http://www.sonyclassics.com/badass/,M,1,0,1,0,0,1
4067,Perfect Cowboy,2014,5,,M,0,0,1,0,0,0
4068,Tadpole,2002,5.5,,M,0,1,1,0,0,1
4069,Once,2007,7.3,http://www.foxsearchlight.com/once/,M,0,0,1,0,1,1
4070,The Woman Chaser,1999,4.9,,M,0,0,1,0,0,0
4071,The Horse Boy,2009,5.5,,M,0,0,0,0,1,0
4072,When the Lights Went Out,2012,5.8,,M,1,0,1,1,0,0
4073,Heroes of Dirt,2015,0,,M,1,0,1,0,0,0
4074,A Charlie Brown Christmas,2065,7.5,,M,0,1,0,0,0,0
4075,Antarctic Edge: 70ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã‚Â¡ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â° South,2015,0,,M,0,0,0,0,1,0
4076,Aroused,2013,7.2,http://thearousedproject.com/,M,0,0,0,0,1,0
4077,Top Spin,2014,6.8,,M,0,0,0,0,1,0
4078,Roger & Me,1989,7.4,,M,0,0,0,0,1,0
4079,Sound of My Voice,2011,6.3,,M,0,0,1,1,0,0
4080,Your Sister's Sister,2011,6.5,http://www.yoursisterssister-themovie.com/,M,0,1,1,0,0,0
4081,A Dog's Breakfast,2007,5.9,http://www.adogsbreakfastmovie.com/,M,0,1,0,0,0,0
4082,The Married Woman,2064,7.1,,M,0,0,1,0,0,1
4083,The Birth of a Nation,2016,6.5,http://www.foxsearchlight.com/thebirthofanation/,M,0,0,1,0,0,0
4084,The Work and The Story,2003,0,,M,0,1,0,0,0,0
4085,Facing the Giants,2006,6.6,http://www.facingthegiants.com/,M,0,0,1,0,0,0
4086,The Gallows,2015,4.9,http://thegallowsmovie.com/,M,1,0,0,1,0,0
4087,Eraserhead,1977,7.5,,M,0,0,1,1,0,0
4088,Hollywood Shuffle,1987,5.7,,M,0,1,0,0,0,0
4089,The Mighty,1998,7.1,,M,0,1,1,0,0,0
4090,Penitentiary,1979,4.9,,M,1,0,1,0,0,0
4091,The Lost Skeleton of Cadavra,2001,6.5,,M,0,1,1,1,0,0
4092,Dude Where's My Dog?,2014,0,,M,0,0,0,0,0,0
4093,Cheap Thrills,2013,6.3,,M,0,1,1,1,0,0
4094,Indie Game: The Movie,2012,7.4,http://www.indiegamethemovie.com,M,0,0,0,0,1,0
4095,Straightheads,2007,5.2,,M,1,0,0,0,0,0
4096,Open Secret,2048,7,,M,1,0,0,1,0,0
4097,Echo Dr.,2013,5,,M,1,0,1,0,0,0
4098,The Night Visitor,1971,7.3,,M,0,0,0,1,0,0
4099,The Past Is a Grotesque Animal,2014,5.5,,M,0,0,0,0,1,0
4100,"Peace, Propaganda & the Promised Land",2005,6.4,,M,0,0,0,0,1,0
4101,Pi,1998,7.1,http://www.pithemovie.com/,M,1,0,1,1,0,0
4102,"I Love You, Don't Touch Me!",1997,6,,M,0,1,0,0,0,1
4103,20 Dates,1998,3.7,,M,0,1,0,0,0,1
4104,Queen Crab,2015,3.3,,M,0,0,1,0,0,0
4105,Super Size Me,2004,6.6,,M,0,1,1,0,1,0
4106,The FP,2011,4.5,,M,0,1,0,0,0,0
4107,Happy Christmas,2014,5.2,,M,0,1,1,0,0,0
4108,The Brain That Wouldn't Die,2062,4.4,,M,0,0,1,1,0,0
4109,Tiger Orange,2014,6.4,http://www.tigerorangemovie.com/,M,0,0,1,0,0,0
4110,Supporting Characters,2012,6.7,,M,0,1,1,0,0,0
4111,Absentia,2011,5.8,,M,1,0,0,1,0,0
4112,The Brothers McMullen,1995,6.3,,M,0,1,1,0,0,1
4113,The Dirties,2013,6,http://www.thedirtiesthemovie.com/,M,0,0,1,0,0,0
4114,Gabriela,1983,6,,M,0,0,1,0,0,1
4115,Tiny Furniture,2010,5.6,http://tinyfurniture.com/,M,0,1,1,0,0,1
4116,Hayride,2012,5.1,,M,1,0,0,1,0,0
4117,The Naked Ape,2006,5,,M,0,1,1,0,0,0
4118,Counting,2015,8.3,,M,0,0,0,0,1,0
4119,The Call of Cthulhu,2005,6.9,http://www.cthulhulives.org/cocmovie/index.html,M,1,0,1,1,0,0
4120,Bending Steel,2013,5,http://www.bendingsteelmovie.com/,M,0,0,0,0,1,0
4121,The Signal,2014,5.8,https://www.facebook.com/thesignalfilm,M,1,0,1,0,0,0
4122,The Image Revolution,2013,5.7,,M,0,0,0,0,1,0
4123,This Is Martin Bonner,2013,6.6,http://www.montereymedia.com/theatrical/films/this_is_martin_bonner.html,M,0,0,1,0,0,0
4124,A True Story,2013,6.8,,M,0,1,0,0,0,0
4125,George Washington,2000,6.4,,M,0,0,1,0,0,0
4126,Smiling Fish & Goat On Fire,1999,7,,M,0,1,0,0,0,1
4127,Dawn of the Crescent Moon,2014,2,,M,1,0,1,0,0,0
4128,Raymond Did It,2011,3.2,https://www.facebook.com/pages/Raymond-Did-It/205521879470,M,0,0,0,1,0,0
4129,The Last Waltz,1978,7.9,http://www.mgm.com/#/our-titles/1092/The-Last-Waltz/,M,0,0,0,0,1,0
4130,"Run, Hide, Die",2015,3.5,,M,1,0,0,1,0,0
4131,The Exploding Girl,2009,6.4,,M,0,0,1,0,0,1
4132,The Legend of God's Gun,2007,0,,M,1,0,0,0,0,0
4133,Mutual Appreciation,2005,6.1,,M,0,1,1,0,0,0
4134,Her Cry: La Llorona Investigation,2013,0,,M,0,0,0,1,0,0
4135,Down Terrace,2009,6.3,http://downterrace.blogspot.com/,M,1,1,1,0,0,0
4136,Clerks,1994,7.4,http://www.miramax.com/movie/clerks/,M,0,1,0,0,0,0
4137,Pink Narcissus,1971,6,,M,0,0,1,0,0,1
4138,Funny Ha Ha,2002,6.3,,M,0,1,1,0,0,0
4139,In the Company of Men,1997,6.8,,M,0,1,1,0,0,0
4140,Manito,2002,5.5,,M,0,0,1,0,0,0
4141,Rampage,2009,6,,M,1,0,1,1,0,0
4142,Slacker,1990,6.4,,M,0,1,0,0,0,0
4143,Dutch Kills,2015,0,,M,1,0,1,1,0,0
4144,Dry Spell,2013,6,https://www.facebook.com/DrySpellMovie,M,0,1,0,0,0,1
4145,Flywheel,2003,6.8,,M,0,0,1,0,0,0
4146,Backmask,2015,4.7,,M,1,0,0,1,0,0
4147,The Puffy Chair,2005,6.2,http://www.thepuffychairmovie.com,M,0,1,1,0,0,1
4148,Stories of Our Lives,2014,0,,M,0,0,1,0,0,0
4149,Breaking Upwards,2009,5.6,,M,0,1,0,0,0,1
4150,All Superheroes Must Die,2011,4.2,,M,1,0,1,0,0,0
4151,Pink Flamingos,1972,6.2,,M,0,1,0,1,0,0
4152,Clean,2004,6.7,,M,0,0,1,0,0,0
4153,The Circle,2000,6.6,,M,0,0,1,0,0,0
4154,Tin Can Man,2007,2,http://tincanmanthemovie.com/,M,0,0,0,1,0,0
4155,Cure,1997,7.4,,M,1,0,0,1,0,0
4156,On The Downlow,2004,6,,M,0,0,1,0,0,0
4157,Sanctuary: Quite a Conundrum,2012,0,,M,1,1,0,1,0,0
4158,Bang,1995,6,,M,0,0,1,0,0,0
4159,Primer,2004,6.9,http://www.primermovie.com,M,1,0,1,0,0,0
4160,Cavite,2005,7.5,,M,1,0,0,0,0,0
4161,El Mariachi,1992,6.6,,M,1,0,0,1,0,0
4162,Newlyweds,2011,5.9,,M,0,1,0,0,0,1
4163,"Signed, Sealed, Delivered",2013,7,http://www.hallmarkchannel.com/signedsealeddelivered,M,0,1,1,0,0,1
4164,My Date with Drew,2005,6.3,,M,0,0,0,0,1,0
4165,Split,2016,7.3,,M,1,0,0,1,0,0
4166,Sing,2016,7.2,,M,0,1,0,0,0,0
4167,The Great Wall,2016,6.1,,M,1,0,1,0,0,0
4168,La La Land,2016,8.3,,M,0,1,1,0,1,0
4169,Mindhorn,2016,6.4,,M,0,1,0,0,0,0
4170,The Lost City of Z,2016,7.1,,M,1,0,0,0,1,0
4171,Passengers,2016,7,,M,1,0,1,0,0,1
4172,Fantastic Beasts and Where to Find Them,2016,7.5,,M,1,0,1,0,0,0
4173,Hidden Figures,2016,7.8,,M,0,0,1,0,1,0
4174,Rogue One,2016,7.9,,M,1,0,1,0,0,0
4175,Moana,2016,7.7,,M,1,1,0,0,0,0
4176,Colossal,2016,6.4,,M,1,1,1,0,0,0
4177,Hacksaw Ridge,2016,8.2,,M,0,0,1,0,1,0
4178,Lion,2016,8.1,,M,0,0,1,0,1,0
4179,Arrival,2016,8,,M,0,0,1,1,0,0
4180,Gold,2016,6.7,,M,1,0,1,0,0,0
4181,Manchester by the Sea,2016,7.9,,M,0,0,1,0,0,0
4182,Hounds of Love,2016,6.7,,M,0,0,1,1,0,0
4183,Trolls,2016,6.5,,M,1,1,0,0,0,0
4184,Paris pieds nus,2016,6.8,,M,0,1,0,0,0,0
4185,Bahubali: The Beginning,2015,8.3,,M,1,0,1,0,0,0
4186,Dead Awake,2016,4.7,,M,1,0,0,1,0,0
4187,Assassin's Creed,2016,5.9,,M,1,0,1,0,0,0
4188,Why Him?,2016,6.3,,M,0,1,0,0,0,0
4189,Nocturnal Animals,2016,7.5,,M,1,0,1,0,0,0
4190,Resident Evil: The Final Chapter,2016,5.6,,M,1,0,1,1,0,0
4191,Doctor Strange,2016,7.6,,M,1,0,1,0,0,0
4192,The Magnificent Seven,2016,6.9,,M,1,0,0,0,0,0
4193,5/25/77,2007,7.1,,M,0,1,1,0,0,0
4194,Moonlight,2016,7.5,,M,0,0,1,0,0,0
4195,Don't Fuck in the Woods,2016,2.7,,M,0,0,0,1,0,0
4196,The Founder,2016,7.2,,M,0,0,1,0,1,0
4197,Lowriders,2016,6.3,,M,0,0,1,0,0,0
4198,Miss Sloane,2016,7.3,,M,1,0,1,0,0,0
4199,Fallen,2016,5.6,,M,1,0,1,0,0,0
4200,The Last Face,2016,3.7,,M,0,0,1,0,0,0
4201,Star Wars: Episode VII - The Force Awakens,2015,8.1,,M,1,0,1,0,0,0
4202,Underworld: Blood Wars,2016,5.8,,M,1,0,1,0,0,0
4203,Mother's Day,2016,5.6,,M,0,1,1,0,0,0
4204,John Wick,2014,7.2,,M,1,0,0,1,0,0
4205,Silence,2016,7.3,,M,1,0,1,0,1,0
4206,Don't Breathe,2016,7.2,,M,1,0,0,1,0,0
4207,Their Finest,2016,7,,M,0,1,1,0,0,1
4208,Sully,2016,7.5,,M,0,0,1,0,1,0
4209,The Autopsy of Jane Doe,2016,6.8,,M,1,0,0,1,0,0
4210,The Girl on the Train,2016,6.5,,M,0,0,1,1,0,0
4211,Kingsman: The Secret Service,2014,7.7,,M,1,1,0,0,0,0
4212,Patriots Day,2016,7.4,,M,1,0,1,0,1,0
4213,Wakefield,2016,7.5,,M,0,0,1,0,0,0
4214,Deepwater Horizon,2016,7.2,,M,1,0,1,0,0,0
4215,The Promise,2016,5.9,,M,0,0,1,0,1,0
4216,Allied,2016,7.1,,M,1,0,1,0,0,1
4217,A Monster Calls,2016,7.5,,M,0,0,1,0,0,0
4218,Collateral Beauty,2016,6.8,,M,0,0,1,0,0,1
4219,Zootopia,2016,8.1,,M,1,1,0,0,0,0
4220,Captain Fantastic,2016,7.9,,M,0,1,1,0,0,0
4221,Furious Seven,2015,7.2,,M,1,0,0,1,0,0
4222,Live by Night,2016,6.4,,M,0,0,1,1,0,0
4223,The Accountant,2016,7.4,,M,1,0,1,1,0,0
4224,War Dogs,2016,7.1,,M,0,1,1,1,0,0
4225,The Nice Guys,2016,7.4,,M,1,1,0,1,0,0
4226,Kimi no na wa,2016,8.6,,M,0,1,1,0,0,0
4227,The Void,2016,5.8,,M,0,0,1,1,0,0
4228,Personal Shopper,2016,6.3,,M,1,0,1,1,0,0
4229,Contratiempo,2016,7.9,,M,1,0,0,1,0,0
4230,Hell or High Water,2016,7.7,,M,1,0,1,1,0,0
4231,The Comedian,2016,5.4,,M,0,1,0,0,0,0
4232,All We Had,2016,5.8,,M,0,0,1,0,0,0
4233,Ex Machina,2014,7.7,,M,0,0,1,1,0,0
4234,The Belko Experiment,2016,6.3,,M,1,0,0,1,0,0
4235,The Bad Batch,2016,6.1,,M,0,0,1,0,0,1
4236,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,,M,1,0,1,0,0,0
4237,Office Christmas Party,2016,5.8,,M,0,1,0,0,0,0
4238,Dangal,2016,8.8,,M,1,0,1,0,1,0
4239,Finding Dory,2016,7.4,,M,1,1,0,0,0,0
4240,Miss Peregrine's Home for Peculiar Children,2016,6.7,,M,1,0,1,0,0,0
4241,Mike and Dave Need Wedding Dates,2016,6,,M,1,1,0,0,0,1
4242,Boyka: Undisputed IV,2016,7.4,,M,1,0,0,0,0,0
4243,Fences,2016,7.3,,M,0,0,1,0,0,0
4244,Furious 6,2013,7.1,,M,1,0,0,1,0,0
4245,The Place Beyond the Pines,2012,7.3,,M,1,0,1,1,0,0
4246,Brimstone,2016,7.1,,M,1,0,0,1,0,0
4247,Ah-ga-ssi,2016,8.1,,M,0,0,1,1,0,1
4248,The Edge of Seventeen,2016,7.4,,M,0,1,1,0,0,0
4249,Inferno,2016,6.2,,M,1,0,0,1,0,0
4250,White Girl,2016,5.8,,M,0,0,1,0,0,0
4251,Twin Peaks: The Missing Pieces,2014,8.1,,M,0,0,1,1,0,0
4252,Aliens vs Predator - Requiem,2007,4.7,,M,1,0,1,1,0,0
4253,Mine,2016,6,,M,1,0,0,0,1,0
4254,Free Fire,2016,7,,M,1,1,0,1,0,0
4255,Jack Reacher: Never Go Back,2016,6.1,,M,1,0,0,1,0,0
4256,13 Hours,2016,7.3,,M,1,0,1,0,1,0
4257,Kubo and the Two Strings,2016,7.9,,M,1,1,0,0,0,0
4258,Beyond the Gates,2016,5.2,,M,1,0,0,1,0,0
4259,Bridget Jones's Baby,2016,6.7,,M,0,1,0,0,0,1
4260,The VVitch: A New-England Folktale,2015,6.8,,M,0,0,0,1,0,0
4261,Realive,2016,5.9,,M,0,0,1,0,0,0
4262,Forushande,2016,8,,M,1,0,1,0,0,0
4263,Love,2015,6,,M,0,0,1,0,0,1
4264,Billy Lynn's Long Halftime Walk,2016,6.3,,M,0,0,1,0,1,0
4265,Crimson Peak,2015,6.6,,M,0,0,1,1,0,0
4266,The Light Between Oceans,2016,7.2,,M,0,0,1,0,0,1
4267,Below Her Mouth,2016,5.6,,M,0,0,1,0,0,0
4268,Morgan,2016,5.8,,M,1,0,1,1,0,0
4269,Hacker,2016,6.3,,M,1,0,1,1,0,0
4270,A Cure for Wellness,2016,6.5,,M,0,0,1,1,0,0
4271,Snowden,2016,7.3,,M,1,0,1,0,1,0
4272,X: First Class,2011,7.8,,M,1,0,1,0,0,0
4273,Raw (II),2016,7.5,,M,0,0,1,1,0,0
4274,Paterson,2016,7.5,,M,0,1,1,0,0,1
4275,The Girl with All the Gifts,2016,6.7,,M,1,0,1,1,0,0
4276,Spring Breakers,2012,5.3,,M,0,0,1,0,0,0
4277,Old Boy,2013,5.8,,M,1,0,1,1,0,0
4278,Monster Trucks,2016,5.7,,M,1,1,0,0,0,0
4279,A Dark Song,2016,6.1,,M,0,0,1,1,0,0
4280,Hardcore Henry,2015,6.7,,M,1,0,1,0,0,0
4281,It Follows,2014,6.9,,M,0,0,0,1,0,0
4282,American Honey,2016,7,,M,0,0,1,0,0,0
4283,The Lobster,2015,7.1,,M,0,1,1,0,0,1
4284,Rupture,2016,4.8,,M,1,0,1,1,0,0
4285,A Kind of Murder,2016,5.2,,M,1,0,1,1,0,0
4286,Jackie,2016,6.8,,M,0,0,1,0,1,0
4287,The Disappointments Room,2016,3.9,,M,1,0,1,1,0,0
4288,Rock Dog,2016,5.8,,M,1,1,0,0,0,0
4289,Les MisÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â©rables,2012,7.6,,M,0,0,1,0,1,1
4290,20th Century Women,2016,7.4,,M,0,1,1,0,0,0
4291,Spy,2015,7.1,,M,1,1,0,1,0,0
4292,The Intouchables,2011,8.6,,M,0,1,1,0,1,0
4293,Bonjour Anne,2016,4.9,,M,0,1,1,0,0,1
4294,Kynodontas,2009,7.3,,M,1,0,1,0,0,0
4295,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2016,7.1,,M,1,0,1,0,0,0
4296,Birdman or (The Unexpected Virtue of Ignorance),2014,7.8,,M,0,1,1,0,0,1
4297,Dear White People,2014,6.2,,M,0,1,1,0,0,0
4298,Nymphomaniac: Vol. I,2013,7,,M,0,0,1,0,0,0
4299,Knock Knock,2015,4.9,,M,1,0,1,1,0,0
4300,Satanic,2016,3.7,,M,0,0,0,1,0,0
4301,Sing Street,2016,8,,M,0,1,1,0,1,0
4302,Ballerina,2016,6.8,,M,1,1,0,0,0,0
4303,Everybody Wants Some!!,2016,7,,M,0,1,0,0,0,0
4304,Iron Man Three,2013,7.2,,M,1,0,1,0,0,0
4305,Death Proof,2007,7.1,,M,1,0,0,0,0,0
4306,The Danish Girl,2015,7,,M,0,0,1,0,1,1
4307,Keeping Up with the Joneses,2016,5.8,,M,1,1,0,0,0,0
4308,Masterminds,2016,5.8,,M,1,1,0,1,0,0
4309,Iris,2016,6.1,,M,1,0,0,0,0,0
4310,Busanhaeng,2016,7.5,,M,1,0,1,1,0,0
4311,The Exception,2016,7.7,,M,0,0,1,0,0,0
4312,The Choice,2016,6.6,,M,0,0,1,0,0,1
4313,Ice Age: Collision Course,2016,5.7,,M,1,1,0,0,0,0
4314,Vincent N Roxxy,2016,5.5,,M,1,0,1,1,0,0
4315,La vie d'AdÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¨le,2013,7.8,,M,0,0,1,0,0,1
4316,The Babadook,2014,6.8,,M,0,0,1,1,0,0
4317,The Stakelander,2016,5.3,,M,1,0,0,1,0,0
4318,Lovesong,2016,6.4,,M,0,0,1,0,0,0
4319,RocknRolla,2008,7.3,,M,1,0,0,1,0,0
4320,A Street Cat Named Bob,2016,7.4,,M,0,1,1,0,1,0
4321,Green Room,2015,7,,M,1,0,0,1,0,0
4322,Storks,2016,6.9,,M,1,1,0,0,0,0
4323,Before I Wake,2016,6.1,,M,0,0,1,1,0,0
4324,Tracktown,2016,5.9,,M,0,0,1,0,1,0
4325,Fast & Furious,2009,6.6,,M,1,0,0,1,0,0
4326,Lady Macbeth,2016,7.3,,M,0,0,1,0,0,0
4327,The Dressmaker,2015,7.1,,M,0,1,1,0,0,0
4328,CafÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© Society,2016,6.7,,M,0,1,1,0,0,1
4329,Demain tout commence,2016,7.4,,M,0,1,1,0,0,0
4330,Clown,2014,5.7,,M,1,0,0,1,0,0
4331,American Wrestler: The Wizard,2016,6.9,,M,0,0,1,0,1,0
4332,Sleight,2016,6,,M,1,0,1,0,0,0
4333,Collide,2016,5.7,,M,1,0,0,1,0,0
4334,Swiss Army Man,2016,7.1,,M,1,1,1,0,0,0
4335,What We Do in the Shadows,2014,7.6,,M,0,1,1,1,0,0
4336,Hush,2016,6.6,,M,1,0,0,1,0,0
4337,Whisky Galore,2016,5,,M,0,1,0,0,0,1
4338,Absolutely Anything,2015,6,,M,0,1,1,0,0,0
4339,The Black Room,2016,3.9,,M,0,0,0,1,0,0
4340,The Invitation,2015,6.7,,M,1,0,1,1,0,0
4341,Elle,2016,7.2,,M,1,0,1,1,0,0
4342,Mechanic: Resurrection,2016,5.6,,M,1,0,0,1,0,0
4343,The Headhunter's Calling,2016,6.9,,M,0,0,1,0,0,0
4344,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,,M,1,0,1,0,0,0
4345,The Babysitters,2007,5.7,,M,0,0,1,0,0,0
4346,Srpski film,2010,5.2,,M,1,0,0,1,0,0
4347,3 Idiots,2009,8.4,,M,0,1,1,0,0,0
4348,Let Me Make You a Martyr,2016,6.4,,M,1,0,1,1,0,0
4349,Filth,2013,7.1,,M,0,1,1,1,0,0
4350,The imposible,2012,7.6,,M,1,0,1,0,0,0
4351,Folk Hero & Funny Guy,2016,5.6,,M,0,1,0,0,0,0
4352,Oz the Great and Powerful,2013,6.3,,M,1,0,1,0,0,0
4353,The Thinning,2016,6,,M,1,0,0,0,0,0
4354,Hunt for the Wilderpeople,2016,7.9,,M,1,1,1,0,0,0
4355,Demolition,2015,7,,M,0,1,1,0,0,0
4356,Jagten,2012,8.3,,M,0,0,1,0,0,0
4357,Denial,2016,6.6,,M,0,0,1,0,1,0
4358,Predestination,2014,7.5,,M,0,0,1,1,0,0
4359,Enemy,2013,6.9,,M,1,0,0,1,0,0
4360,Pet,2016,5.7,,M,1,0,0,1,0,0
4361,Paint It Black,2016,8.3,,M,0,0,1,0,0,0
4362,Macbeth,2015,6.7,,M,0,0,1,0,1,0
4363,Perfetti sconosciuti,2016,7.7,,M,0,1,1,0,0,0
4364,Angry Birds,2016,6.3,,M,1,1,0,0,0,0
4365,Under the Skin,2013,6.3,,M,0,0,1,1,0,0
4366,Carol,2015,7.2,,M,0,0,1,0,0,1
4367,Imperium,2016,6.5,,M,1,0,1,1,0,0
4368,Youth,2015,7.3,,M,0,1,1,0,1,0
4369,Mr. Nobody,2009,7.9,,M,0,0,1,0,0,1
4370,City of Tiny Lights,2016,5.7,,M,1,0,1,1,0,0
4371,Bone Tomahawk,2015,7.1,,M,1,0,1,1,0,0
4372,Half of a Yellow Sun,2013,6.2,,M,0,0,1,0,0,1
4373,Anthropoid,2016,7.2,,M,1,0,0,0,1,0
4374,Viking,2016,4.7,,M,1,0,1,0,1,0
4375,Whiskey Tango Foxtrot,2016,6.6,,M,0,1,1,0,1,0
4376,Birth of the Dragon,2016,3.9,,M,1,0,1,0,1,0
4377,The Green Inferno,2013,5.4,,M,1,0,0,1,0,0
4378,Godzilla,2014,6.4,,M,1,0,1,0,0,0
4379,Friend Request,2016,5.4,,M,1,0,0,1,0,0
4380,Deja Vu,2006,7,,M,1,0,1,0,0,0
4381,A Quiet Passion,2016,7.2,,M,0,0,1,0,1,0
4382,The Do-Over,2016,5.7,,M,1,1,0,0,0,0
4383,True Crimes,2016,7.3,,M,1,0,1,1,0,0
4384,American Pastoral,2016,6.1,,M,0,0,1,1,0,0
4385,Limitless,2011,7.4,,M,1,0,1,1,0,0
4386,Spectral,2016,6.3,,M,1,0,1,1,0,0
4387,Don't Think Twice,2016,6.8,,M,0,1,1,0,0,0
4388,Chuck,2016,6.8,,M,0,0,1,0,1,0
4389,"I, Daniel Blake",2016,7.9,,M,0,0,1,0,0,0
4390,Loving,2016,7.1,,M,0,0,1,0,1,1
4391,The Survivalist,2015,6.3,,M,1,0,1,0,0,0
4392,Colonia,2015,7.1,,M,1,0,1,0,0,1
4393,A Hologram for the King,2016,6.1,,M,0,1,1,0,0,0
4394,Bleed for This,2016,6.8,,M,0,0,1,0,1,0
4395,Tron,2010,6.8,,M,1,0,1,0,0,0
4396,MÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¤n som hatar kvinnor,2009,7.8,,M,1,0,1,1,0,0
4397,Adoration,2013,6.2,,M,0,0,1,0,0,1
4398,The Drop,2014,7.1,,M,0,0,1,1,0,0
4399,Grimsby,2016,6.2,,M,1,1,0,0,0,0
4400,Blood Father,2016,6.4,,M,1,0,1,1,0,0
4401,Handsome Devil,2016,7.4,,M,0,0,1,0,0,0
4402,Mommy,2014,8.1,,M,0,0,1,0,0,0
4403,Toni Erdmann,2016,7.6,,M,0,1,1,0,0,0
4404,Bastille Day,2016,6.3,,M,1,0,1,1,0,0
4405,2307: Winter's Dream,2016,4,,M,0,0,1,0,0,0
4406,Mr. Right,2015,6.3,,M,1,1,0,0,0,1
4407,Underworld Awakening,2012,6.4,,M,1,0,1,1,0,0
4408,Antichrist,2009,6.6,,M,0,0,1,1,0,0
4409,Friday the 13th,2009,5.6,,M,0,0,0,1,0,0
4410,Total Recall,2012,6.3,,M,1,0,0,1,0,0
4411,The Escort,2016,6,,M,0,1,1,0,0,1
4412,The Whole Truth,2016,6.1,,M,0,0,1,1,0,0
4413,Megan Is Missing,2011,4.9,,M,1,0,1,1,0,0
4414,WALLÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â·E,2008,8.4,,M,1,1,0,0,0,0
4415,Lawless,2012,7.3,,M,0,0,1,1,0,0
4416,Unfriended,2014,5.6,,M,0,0,1,1,0,0
4417,Relatos salvajes,2014,8.1,,M,1,1,1,0,0,0
4418,Frantz,2016,7.5,,M,0,0,1,0,1,0
4419,Viral,2016,5.5,,M,0,0,1,1,0,0
4420,Tall Men,2016,3.2,,M,1,0,1,1,0,0
4421,Sleeping Beauty,2011,5.3,,M,0,0,1,0,0,1
4422,Vampire Academy,2014,5.6,,M,1,1,1,0,0,0
4423,Sweeney Todd: The Demon Barber of Fleet Street,2007,7.4,,M,0,0,1,1,1,0
4424,Solace,2015,6.4,,M,0,0,1,1,0,0
4425,Popstar: Never Stop Never Stopping,2016,6.7,,M,0,1,0,0,1,0
4426,The Levelling,2016,6.4,,M,0,0,1,0,0,0
4427,The Daughter,2015,6.7,,M,0,0,1,0,0,0
4428,The First Time,2012,6.9,,M,0,1,1,0,0,1
4429,Gone Baby Gone,2007,7.7,,M,0,0,1,1,0,0
