title,year,popularity,comedy,fantasy,romance,horror,action,non-fiction,type
Tusk,2014,5.4,1,1,0,1,0,0,M
The Headhunter's Calling,2016,6.9,0,1,0,0,0,0,M
Atonement,2007,7.8,0,1,1,1,0,0,M
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,0,1,0,0,1,0,M
Shame,2011,7.2,0,1,0,0,0,0,M
Hanna,2011,6.8,0,1,0,0,1,0,M
The Babysitters,2007,5.7,0,1,0,0,0,0,M
Pride and Prejudice and Zombies,2016,5.8,0,0,1,1,1,0,M
300: Rise of an Empire,2014,6.2,0,1,0,0,1,0,M
London Has Fallen,2016,5.9,0,1,0,1,1,0,M
The Curious Case of Benjamin Button,2008,7.8,0,1,1,0,0,0,M
Sin City: A Dame to Kill For,2014,6.5,0,0,0,1,1,0,M
The Bourne Ultimatum,2007,8.1,0,0,0,1,1,0,M
Srpski film,2010,5.2,0,0,0,1,1,0,M
The Purge: Election Year,2016,6,0,1,0,1,1,0,M
3 Idiots,2009,8.4,1,1,0,0,0,0,M
Zoolander 2,2016,4.7,1,0,0,0,0,0,M
World War Z,2013,7,0,0,0,1,1,0,M
Mission: Impossible - Ghost Protocol,2011,7.4,0,0,0,0,1,0,M
Let Me Make You a Martyr,2016,6.4,0,1,0,1,1,0,M
Filth,2013,7.1,1,1,0,1,0,0,M
The Longest Ride,2015,7.1,0,1,1,0,0,0,M
The imposible,2012,7.6,0,1,0,0,1,0,M
Kick-Ass 2,2013,6.6,1,0,0,1,1,0,M
Folk Hero & Funny Guy,2016,5.6,1,0,0,0,0,0,M
Oz the Great and Powerful,2013,6.3,0,1,0,0,1,0,M
Brooklyn,2015,7.5,0,1,1,0,0,0,M
Coraline,2009,7.7,1,1,0,0,0,0,M
Blue Valentine,2010,7.4,0,1,1,0,0,0,M
The Thinning,2016,6,0,0,0,0,1,0,M
Silent Hill,2006,6.6,0,0,0,1,1,0,M
Dredd,2012,7.1,0,1,0,0,1,0,M
Hunt for the Wilderpeople,2016,7.9,1,1,0,0,1,0,M
Big Hero 6,2014,7.8,1,0,0,0,1,0,M
Carrie,2013,5.9,0,1,0,1,0,0,M
Iron Man 2,2010,7,0,1,0,0,1,0,M
Demolition,2015,7,1,1,0,0,0,0,M
Pandorum,2009,6.8,0,0,0,1,1,0,M
Olympus Has Fallen,2013,6.5,0,0,0,0,1,0,M
I Am Number Four,2011,6.1,0,1,0,0,1,0,M
Jagten,2012,8.3,0,1,0,0,0,0,M
The Proposal,2009,6.7,1,1,1,0,0,0,M
Get Hard,2015,6,1,0,0,1,0,0,M
Just Go with It,2011,6.4,1,0,1,0,0,0,M
Revolutionary Road,2008,7.3,0,1,1,0,0,0,M
The Town,2010,7.6,0,1,0,1,1,0,M
The Boy,2016,6,0,0,0,1,1,0,M
Denial,2016,6.6,0,1,0,0,0,1,M
Predestination,2014,7.5,0,1,0,1,0,0,M
Goosebumps,2015,6.3,1,0,0,0,1,0,M
Sherlock Holmes: A Game of Shadows,2011,7.5,0,0,0,1,1,0,M
Salt,2010,6.4,0,0,0,1,1,0,M
Enemy,2013,6.9,0,0,0,1,1,0,M
District 9,2009,8,0,1,0,0,1,0,M
The Other Guys,2010,6.7,1,0,0,1,1,0,M
American Gangster,2007,7.8,0,1,0,1,0,1,M
Marie Antoinette,2006,6.4,0,1,0,0,0,1,M
2012,2009,5.8,0,1,0,0,1,0,M
Harry Potter and the Half-Blood Prince,2009,7.5,0,1,0,0,1,0,M
Argo,2012,7.7,0,1,0,0,0,1,M
