"title","year","homepage","popularity","romance","horror","action","comedy","fantasy","non-fiction","type"
"Wordplay","2006","","7.3","0","0","0","0","0","1","M"
"Ghost Rider: Spirit of Vengeance","2011","http://www.thespiritofvengeance.com/","4.7","0","0","1","0","1","0","M"
"Traffic","2000","","6.9","0","1","1","0","1","0","M"
"Wicked Blood","2014","","5.3","0","0","1","0","1","0","M"
"The Land Before Time","1988","","7","0","0","1","1","0","0","M"
"High Heels and Low Lifes","2001","","6.4","0","1","1","1","0","0","M"
"Copying Beethoven","2006","","6.2","0","0","0","0","1","0","M"
"Ararat","2002","","5.7","0","0","0","0","1","1","M"
"The Yards","2000","https://www.miramax.com/movie/the-yards","6","0","1","1","0","1","0","M"
"Living Out Loud","1998","","5.3","1","0","0","1","1","0","M"
"Character","1997","","7.7","0","0","0","0","1","1","M"
"Safety Not Guaranteed","2012","","6.8","1","0","0","1","1","0","M"
"Nancy Drew","2007","","5.8","0","1","1","0","0","0","M"
"World's Greatest Dad","2009","http://www.worldsgreatestdadfilm.com/","6.5","1","0","0","1","0","0","M"
"Clockwatchers","1997","","5.6","0","0","0","1","1","0","M"
"That Thing You Do!","1996","","6.8","0","0","0","1","1","0","M"
"Submarine","2011","http://warpfilms.com/feature/submarine/","7.4","1","0","0","1","1","0","M"
"The Odd Life of Timothy Green","2012","http://disney.go.com/disneypictures/the-odd-life-of-timothy-green/","6.5","0","0","0","1","1","0","M"
"Deadfall","2012","http://www.magpictures.com/deadfall/","5.6","0","1","1","0","1","0","M"
"Crazy/Beautiful","2001","","6.6","1","0","0","0","1","0","M"
"American Beast","2014","","0","0","1","0","0","0","0","M"
"Youth in Revolt","2009","http://youthinrevolt-themovie.com/","5.9","1","0","0","1","1","0","M"
"Paranormal Activity","2007","http://www.paranormalactivity-movie.com/","5.9","0","1","0","0","0","0","M"
"American History X","1998","http://www.historyx.com/","8.2","0","0","0","0","1","0","M"
"Bound by Honor","1993","","7.7","0","1","1","0","1","0","M"
"Jefferson in Paris","1995","","5.2","1","0","0","0","1","0","M"
"Road House","1989","","6.3","0","0","1","0","0","0","M"
"Just Wright","2010","","6.1","1","0","0","1","1","0","M"
"The Dog Lover","2016","http://www.thedoglovermovie.com/","5.3","0","0","0","0","1","0","M"
"Miracle","2004","","7","0","0","0","0","1","1","M"
"Ghost Town","2008","","6.4","1","0","0","1","1","0","M"
"The Angry Birds Movie","2016","http://www.angrybirds-movie.com/en/","5.9","0","0","0","1","0","0","M"
"Starship Troopers","1997","","6.7","0","0","1","0","1","0","M"
"The Living Daylights","1987","http://www.mgm.com/view/movie/1132/The-Living-Daylights/","6.2","0","0","1","0","0","0","M"
"Eye for an Eye","1996","","5.8","0","0","1","0","1","0","M"
"Vamps","2012","","4.8","1","1","0","1","0","0","M"
"Star Trek VI: The Undiscovered Country","1991","","6.7","0","0","1","0","1","0","M"
"The True Story of Puss 'n Boots","2009","","3.8","0","0","1","1","0","0","M"
"The Last Dragon","1985","","6.4","0","0","1","1","0","0","M"
"The Curse of Downers Grove","2015","","4.4","0","1","1","0","1","0","M"
"Three","2010","","6.3","1","0","0","1","1","0","M"
"Dead Snow","2009","http://www.deadsnow.com","6.1","0","1","0","1","0","0","M"
"State of Play","2009","http://www.stateofplaymovie.net/","6.7","0","0","1","0","0","0","M"
"Martha Marcy May Marlene","2011","http://www.foxsearchlight.com/marthamarcymaymarlene/","6.7","0","0","1","0","1","0","M"
"High Road","2012","http://highroadmovie.com/","5.8","0","0","0","1","0","0","M"
"Drive Angry","2011","http://www.driveangry3d.com/","5.3","0","1","1","0","1","0","M"
"1776","1972","","7.1","0","0","0","1","1","1","M"
"Veronika Decides to Die","2009","http://www.veronikadecidestodiethemovie.com/","5.8","1","0","0","0","1","0","M"
"The Transporter Refueled","2015","http://www.thetransporterrefueled.com/","5.2","0","1","1","0","0","0","M"
"Friday the 13th Part VI: Jason Lives","1986","","5.7","0","1","1","0","0","0","M"
"The Last Sin Eater","2007","","6.2","0","0","0","0","1","0","M"
"Scarface","1983","","8","0","1","1","0","1","0","M"
"Silver Medalist","2009","","7.4","0","0","1","1","1","0","M"
