"title@sourceA","year@sourceA","popularity@sourceA","comedy@sourceA","fantasy@sourceA","romance@sourceA","horror@sourceA","action@sourceA","non-fiction@sourceA","type@sourceA","title@sourceB","year@sourceB","homepage@sourceB","popularity@sourceB","romance@sourceB","horror@sourceB","action@sourceB","comedy@sourceB","fantasy@sourceB","non-fiction@sourceB","type@sourceB","Confidence"
"Lucky Number Slevin","2006","7.8","0","1","0","1","0","0","M","Lucky Number Slevin","2006","","7.4","0","1","1","0","1","0","M","100"
"Maze Runner: The Scorch Trials","2015","6.3","0","1","0","0","1","0","M","Maze Runner: The Scorch Trials","2015","http://mazerunnermovies.com","6.4","0","0","1","0","0","0","M","100"
"Super 8","2011","7.1","0","1","0","1","1","0","M","Super 8","2011","http://www.super8-movie.com/","6.6","0","1","1","0","1","0","M","100"
"Drive","2011","7.8","0","1","0","1","0","0","M","Drive","2011","http://www.sonypictures.com/movies/drive/","7.4","0","1","1","0","1","0","M","100"
"Self/less","2015","6.5","0","1","0","1","1","0","M","Self/less","2015","http://selflessmovie.tumblr.com/","6.3","0","1","1","0","1","0","M","100"
"Death Race","2008","6.4","0","1","0","0","1","0","M","Death Race","2008","http://www.deathracemovie.net/","6","0","0","1","0","1","0","M","100"
"Harry Potter and the Half-Blood Prince","2009","7.5","0","1","0","0","1","0","M","Harry Potter and the Half-Blood Prince","2009","http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html","7.4","0","0","1","0","1","0","M","100"
"Terminator Genisys","2015","6.5","0","1","0","0","1","0","M","Terminator Genisys","2015","http://www.terminatormovie.com/","5.8","0","0","1","0","1","0","M","100"
"Point Break","2015","5.3","0","0","0","1","1","1","M","Point Break","2015","https://www.facebook.com/PointBreakMovie","5.5","0","1","1","0","0","0","M","100"
"Let Me In","2010","7.2","0","1","0","1","0","0","M","Let Me In","2010","http://www.letmein-movie.com","6.7","0","1","0","0","1","0","M","100"
"Star Trek","2009","8","0","1","0","0","1","0","M","Star Trek","2009","","7.4","0","0","1","0","1","0","M","100"
"Chappie","2015","6.9","0","1","0","1","1","0","M","Chappie","2015","http://www.chappie-movie.com","6.6","0","1","1","0","1","0","M","100"
"The Imaginarium of Doctor Parnassus","2009","6.8","0","1","0","1","1","0","M","The Imaginarium of Doctor Parnassus","2009","http://doctorparnassus.com/","6.3","0","1","1","0","1","0","M","100"
"Lone Survivor","2013","7.5","0","1","0","0","1","1","M","Lone Survivor","2013","http://www.lonesurvivorfilm.com/","7.4","0","0","1","0","1","1","M","100"
"She's Out of My League","2010","6.4","1","0","1","0","0","0","M","She's Out of My League","2010","http://www.getyourrating.com/","5.9","1","0","0","1","0","0","M","100"
"Escape Plan","2013","6.7","0","0","0","1","1","0","M","Escape Plan","2013","http://escapeplanmovie.com/","6.7","0","0","1","0","0","0","M","100"
"The Bourne Legacy","2012","6.7","0","0","0","1","1","0","M","The Bourne Legacy","2012","http://www.thebournelegacy.com/","6","0","0","1","0","0","0","M","100"
"Batman v Superman: Dawn of Justice","2016","6.7","0","1","0","0","1","0","M","Batman v Superman: Dawn of Justice","2016","http://www.batmanvsupermandawnofjustice.com/","5.7","0","0","1","0","1","0","M","100"
"Legend","2015","7","0","1","0","1","0","1","M","Legend","2015","https://www.uphe.com/movies/legend-2015","6.7","0","1","1","0","0","0","M","100"
"2012","2009","5.8","0","1","0","0","1","0","M","2012","2009","http://www.sonypictures.com/movies/2012","5.6","0","0","1","0","1","0","M","100"
"Me Before You","2016","7.4","0","1","1","0","0","0","M","Me Before You","2016","http://www.mebeforeyoumovie.net","7.6","1","0","0","0","1","0","M","100"
"Slither","2006","6.5","1","1","0","1","0","0","M","Slither","2006","","6.3","0","1","0","1","1","0","M","100"
"Out of the Furnace","2013","6.8","0","1","0","1","1","0","M","Out of the Furnace","2013","","6.5","0","1","1","0","1","0","M","100"
"Magic Mike XXL","2015","5.7","1","1","0","0","0","1","M","Magic Mike XXL","2015","","6.3","0","0","0","1","1","1","M","100"
"How to Train Your Dragon 2","2014","7.9","1","0","0","0","1","0","M","How to Train Your Dragon 2","2014","http://www.howtotrainyourdragon.com/","7.6","0","0","1","1","1","0","M","100"
